function	width	version	nanos	min	max
acos	115	decimal-scaled	19038	1452	7044525
acos	115	decimal-scaled@0.4.4	59678	1482	9107812
acos	115	decimal-scaled@0.5.0	20179	1502	9048113
acos	1232	decimal-scaled	19225	2304	6042807
acos	1232	decimal-scaled@0.4.4	276225	7504	9245560
acos	1232	decimal-scaled@0.5.0	24085	2214	9044010
acos	153	decimal-scaled	10335	701	7342043
acos	153	decimal-scaled@0.3.3	72009	3615	9087306
acos	153	decimal-scaled@0.4.4	37496	822	9053634
acos	153	decimal-scaled@0.5.0	13420	721	8023481
acos	18	decimal-scaled	2878	67	3982
acos	18	decimal-scaled@0.4.4	14613	518	56445
acos	18	decimal-scaled@0.5.0	5526	484	13522
acos	230	decimal-scaled	13871	1442	4695851
acos	230	decimal-scaled@0.3.3	161081	8483	7184984
acos	230	decimal-scaled@0.4.4	70184	1812	9089992
acos	230	decimal-scaled@0.5.0	19119	1111	8036082
acos	307	decimal-scaled	18384	1834	6042069
acos	307	decimal-scaled@0.3.3	249185	14287	8279739
acos	307	decimal-scaled@0.4.4	114493	3246	9145422
acos	307	decimal-scaled@0.5.0	24426	1372	9046398
acos	38	decimal-scaled	4540	56	45809
acos	38	decimal-scaled@0.3.3	123138	770	239424
acos	38	decimal-scaled@0.4.4	17934	439	40921
acos	38	decimal-scaled@0.5.0	8669	513	30417
acos	462	decimal-scaled	18325	1563	6045442
acos	462	decimal-scaled@0.4.4	110185	3295	7123038
acos	462	decimal-scaled@0.5.0	24275	1573	9312013
acos	57	decimal-scaled	10700	882	47409
acos	57	decimal-scaled@0.4.4	33914	752	56255
acos	57	decimal-scaled@0.5.0	14948	801	46618
acos	616	decimal-scaled	14045	1161	6027796
acos	616	decimal-scaled@0.4.4	104455	3514	7122718
acos	616	decimal-scaled@0.5.0	18673	1018	9028529
acos	76	decimal-scaled	9724	741	34071
acos	76	decimal-scaled@0.3.3	48823	2394	71198
acos	76	decimal-scaled@0.4.4	24768	490	37357
acos	76	decimal-scaled@0.5.0	12869	641	35373
acos	924	decimal-scaled	16182	1979	14026886
acos	924	decimal-scaled@0.4.4	173744	5568	8205766
acos	924	decimal-scaled@0.5.0	22505	1428	9032616
acosh	115	decimal-scaled	116161	6370	6145359
acosh	115	decimal-scaled@0.4.4	246203	8263	11179709
acosh	115	decimal-scaled@0.5.0	112556	6219	10070302
acosh	1232	decimal-scaled	122017	9137	9085917
acosh	1232	decimal-scaled@0.4.4	1112423	43412	10196866
acosh	1232	decimal-scaled@0.5.0	121356	7934	9158673
acosh	153	decimal-scaled	76725	3806	6096475
acosh	153	decimal-scaled@0.3.3	40020	17987	10048321
acosh	153	decimal-scaled@0.4.4	141583	4527	9119344
acosh	153	decimal-scaled@0.5.0	75584	3685	10045690
acosh	18	decimal-scaled	6684	120	53571
acosh	18	decimal-scaled@0.4.4	19942	137	26338
acosh	18	decimal-scaled@0.5.0	20074	116	60552
acosh	230	decimal-scaled	98687	5539	7124998
acosh	230	decimal-scaled@0.3.3	167801	42904	9206335
acosh	230	decimal-scaled@0.4.4	276504	10185	12166750
acosh	230	decimal-scaled@0.5.0	98798	5138	9123530
acosh	307	decimal-scaled	127408	6973	9163957
acosh	307	decimal-scaled@0.3.3	265975	66965	6649461
acosh	307	decimal-scaled@0.4.4	445520	17132	10302309
acosh	307	decimal-scaled@0.5.0	122979	6362	9160060
acosh	38	decimal-scaled	9000	126	68013
acosh	38	decimal-scaled@0.3.3	212965	109	331189
acosh	38	decimal-scaled@0.4.4	28852	113	43457
acosh	38	decimal-scaled@0.5.0	28950	160	96176
acosh	462	decimal-scaled	122017	8867	7147657
acosh	462	decimal-scaled@0.4.4	450951	16481	8703049
acosh	462	decimal-scaled@0.5.0	123179	7284	11075320
acosh	57	decimal-scaled	52769	2865	99216
acosh	57	decimal-scaled@0.4.4	125826	4368	226335
acosh	57	decimal-scaled@0.5.0	52458	2515	87644
acosh	616	decimal-scaled	94921	5190	8127225
acosh	616	decimal-scaled@0.4.4	404523	15496	9256834
acosh	616	decimal-scaled@0.5.0	92519	4837	10107107
acosh	76	decimal-scaled	44998	2433	236006
acosh	76	decimal-scaled@0.3.3	27481	12419	37968
acosh	76	decimal-scaled@0.4.4	90016	3345	149095
acosh	76	decimal-scaled@0.5.0	44347	2484	74343
acosh	924	decimal-scaled	109708	5791	6242501
acosh	924	decimal-scaled@0.4.4	683433	30575	9349774
acosh	924	decimal-scaled@0.5.0	110803	6542	14069781
add	115	decimal-scaled	60	50	110
add	115	decimal-scaled@0.4.4	60	50	140
add	115	decimal-scaled@0.5.0	60	50	130
