function	width	library	scale	nanos	min	max
acos	18	decimal-scaled	17	4848	70	17406
acos	18	g_math	17	467922	3075	645565
acos	38	decimal-scaled	17	4858	70	16505
acos	38	decimal-scaled	28	5979	70	70126
acos	38	decimal-scaled	37	6880	71	79911
acos	38	g_math	17	468888	3125	748271
acos	38	g_math	28	469825	3085	705586
acos	38	g_math	37	469564	3155	622310
acos	57	decimal-scaled	17	9324	1822	23505
acos	57	decimal-scaled	28	12718	2604	62392
acos	57	decimal-scaled	37	13540	2744	50765
acos	57	g_math	17	468460	3144	618180
acos	57	g_math	28	467631	3115	712332
acos	57	g_math	37	469067	3095	630580
acos	76	decimal-scaled	17	8797	1783	21610
acos	76	decimal-scaled	28	11461	2304	42880
acos	76	decimal-scaled	37	12593	2515	46788
acos	76	g_math	17	462300	3216	998619
acos	76	g_math	28	464384	3186	611765
acos	76	g_math	37	461599	3186	628797
acos	115	decimal-scaled	17	15990	3217	1879288
acos	115	decimal-scaled	28	20869	4228	5640066
acos	115	decimal-scaled	37	22142	4418	9046193
acos	115	g_math	17	946242	5871	10899531
acos	115	g_math	28	949462	5901	9032920
acos	115	g_math	37	958999	5821	11005537
acos	153	decimal-scaled	17	15343	3074	2042795
acos	153	decimal-scaled	28	19710	4056	70947
acos	153	decimal-scaled	37	21682	4426	213941
acos	153	decimal-scaled	152	115284	54723	11129030
acos	153	g_math	17	1011320	6991	12997214
acos	153	g_math	28	1016869	5158	10039465
acos	153	g_math	37	994444	5779	17672682
acos	153	g_math	152	998990	5799	12987342
acos	230	decimal-scaled	17	13165	2930	2026085
acos	230	decimal-scaled	28	16613	3247	8027413
acos	230	decimal-scaled	37	18153	3360	6028935
acos	230	decimal-scaled	152	83176	38770	15096870
acos	230	g_math	17	440654	2554	8208904
acos	230	g_math	28	451716	2553	12526487
acos	230	g_math	37	467029	2326	9558289
acos	230	g_math	152	453202	2224	8285220
acos	307	decimal-scaled	17	14452	2965	78638
acos	307	decimal-scaled	28	19960	3966	79759
acos	307	decimal-scaled	37	21753	4697	9168141
acos	307	decimal-scaled	152	114587	53450	13124595
acos	307	g_math	17	1011812	5719	12562712
acos	307	g_math	28	1011812	5709	9921064
acos	307	g_math	37	1014180	5698	11532209
acos	307	g_math	152	1008272	106851	12719916
acos	462	decimal-scaled	17	14142	2834	1407760
acos	462	decimal-scaled	28	19519	3736	8118056
acos	462	decimal-scaled	37	21292	3936	13038924
acos	462	decimal-scaled	152	111578	49484	12134825
acos	462	g_math	17	1008168	5659	16131355
acos	462	g_math	28	1021479	5758	11942604
acos	462	g_math	37	1010717	5709	15916458
acos	462	g_math	152	1017562	5748	8929887
acos	616	decimal-scaled	17	14998	3166	79760
acos	616	decimal-scaled	28	19727	4118	12036762
acos	616	decimal-scaled	37	21401	4909	12036885
acos	616	decimal-scaled	152	109351	52478	14293804
acos	616	g_math	17	940959	5921	13036842
acos	616	g_math	28	947396	5900	7744474
acos	616	g_math	37	939606	5911	9981493
acos	616	g_math	152	950792	5811	14618581
acos	924	decimal-scaled	17	16210	3196	4027144
acos	924	decimal-scaled	28	20722	4173	12033954
acos	924	decimal-scaled	37	22645	4150	457710
acos	924	decimal-scaled	152	117184	55644	11344698
acos	924	g_math	17	550307	3200	16609128
acos	924	g_math	28	551040	2906	12561429
acos	924	g_math	37	546896	2829	14281874
acos	924	g_math	152	550441	2934	9559773
acos	1232	decimal-scaled	17	14050	3425	128980
acos	1232	decimal-scaled	28	19019	4607	9039176
acos	1232	decimal-scaled	37	19929	4847	12039456
acos	1232	decimal-scaled	152	106792	49282	16124293
acos	1232	g_math	17	1007354	5688	14108622
acos	1232	g_math	28	1026537	5809	10080766
acos	1232	g_math	37	1001960	5779	13132786
acos	1232	g_math	152	1011695	5838	9992748
acosh	18	decimal-scaled	17	3455	100	23856
acosh	18	g_math	17	260924	681	517452
acosh	38	decimal-scaled	17	11197	80	23215
acosh	38	decimal-scaled	28	13746	110	25568
acosh	38	decimal-scaled	37	4717	80	54532
acosh	38	g_math	17	262822	701	528939
acosh	38	g_math	28	272092	711	638024
acosh	38	g_math	37	262412	751	509029
acosh	57	decimal-scaled	17	45407	2874	61711
acosh	57	decimal-scaled	28	57129	3264	75211
acosh	57	decimal-scaled	37	62482	2914	84274
acosh	57	g_math	17	262656	751	525173
acosh	57	g_math	28	262277	731	514490
acosh	57	g_math	37	261742	1643	529131
acosh	76	decimal-scaled	17	41934	2806	55474
acosh	76	decimal-scaled	28	54066	2535	86012
acosh	76	decimal-scaled	37	59061	2625	82194
acosh	76	g_math	17	256460	681	522908
acosh	76	g_math	28	255854	681	514473
acosh	76	g_math	37	257392	651	505656
acosh	115	decimal-scaled	17	74148	5090	9097100
acosh	115	decimal-scaled	28	125810	8817	6148877
acosh	115	decimal-scaled	37	151117	7063	15166735
