# library: dashu-float
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits
sqrt	D18	0	HalfAwayFromZero	executed	0	0	75	75	0
sqrt	D18	9	HalfAwayFromZero	executed	0	0	76	76	0
sqrt	D18	17	HalfAwayFromZero	executed	0	0	41	41	0
sqrt	D38	0	HalfAwayFromZero	executed	0	0	67	67	0
sqrt	D38	19	HalfAwayFromZero	executed	0	0	68	68	0
sqrt	D38	37	HalfAwayFromZero	executed	0	0	35	35	0
sqrt	D57	0	HalfAwayFromZero	executed	0	0	62	62	0
sqrt	D57	28	HalfAwayFromZero	executed	0	0	63	63	0
sqrt	D57	56	HalfAwayFromZero	executed	1	1.000000	31	30	1
sqrt	D76	0	HalfAwayFromZero	executed	0	0	54	54	0
sqrt	D76	35	HalfAwayFromZero	executed	0	0	55	55	0
sqrt	D76	75	HalfAwayFromZero	executed	1	1.000000	26	25	1
sqrt	D115	0	HalfAwayFromZero	executed	56	6.978e16	47	32	17
sqrt	D115	57	HalfAwayFromZero	executed	0	0	48	48	0
sqrt	D115	114	HalfAwayFromZero	executed	1	1.000000	23	22	1
sqrt	D153	0	HalfAwayFromZero	executed	119	4.354e35	43	29	36
sqrt	D153	76	HalfAwayFromZero	executed	0	0	44	44	0
sqrt	D153	152	HalfAwayFromZero	executed	59	4.708e17	21	3	18
sqrt	D230	0	HalfAwayFromZero	executed	250	4.947e74	38	24	75
sqrt	D230	115	HalfAwayFromZero	executed	56	5.226e16	39	27	17
sqrt	D230	229	HalfAwayFromZero	executed	1	1.000000	18	17	1
sqrt	D307	0	HalfAwayFromZero	executed	376	4.749e112	34	25	113
sqrt	D307	150	HalfAwayFromZero	executed	126	6.535e37	35	26	38
sqrt	D307	306	HalfAwayFromZero	executed	1	1.000000	16	15	1
sqrt	D462	0	HalfAwayFromZero	executed	635	4.449e190	34	23	191
sqrt	D462	230	HalfAwayFromZero	executed	253	2.999e75	35	24	76
sqrt	D462	461	HalfAwayFromZero	executed	1	1.000000	16	15	1
sqrt	D616	0	HalfAwayFromZero	executed	891	4.449e267	34	23	268
sqrt	D616	308	HalfAwayFromZero	executed	379	4.425e113	35	24	114
sqrt	D616	615	HalfAwayFromZero	executed	1	1.000000	16	15	1
sqrt	D924	0	HalfAwayFromZero	executed	1402	inf	34	23	422
sqrt	D924	460	HalfAwayFromZero	executed	638	4.673e191	35	24	192
sqrt	D924	923	HalfAwayFromZero	executed	1	1.000000	16	15	1
sqrt	D1232	0	HalfAwayFromZero	executed	1914	inf	34	23	576
sqrt	D1232	615	HalfAwayFromZero	executed	891	5.808e267	35	26	268
sqrt	D1232	1231	HalfAwayFromZero	executed	1	1.000000	16	15	1
cbrt	D18	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D18	9	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D18	17	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D38	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D38	19	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D38	37	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D57	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D57	28	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D57	56	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D76	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D76	35	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D76	75	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D115	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D115	57	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D115	114	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D153	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D153	76	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D153	152	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D230	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D230	115	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D230	229	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D307	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D307	150	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D307	306	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D462	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D462	230	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D462	461	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D616	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D616	308	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D616	615	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D924	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D924	460	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D924	923	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D1232	0	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D1232	615	HalfAwayFromZero	na	-1	na	0	0	-1
cbrt	D1232	1231	HalfAwayFromZero	na	-1	na	0	0	-1
exp	D18	0	HalfAwayFromZero	executed	0	0	32	32	0
exp	D18	9	HalfAwayFromZero	executed	0	0	67	67	0
exp	D18	17	HalfAwayFromZero	executed	0	0	35	35	0
exp	D38	0	HalfAwayFromZero	executed	0	0	32	32	0
exp	D38	19	HalfAwayFromZero	executed	0	0	59	59	0
exp	D38	37	HalfAwayFromZero	executed	0	0	32	32	0
exp	D57	0	HalfAwayFromZero	executed	51	1.751e15	29	24	16
exp	D57	28	HalfAwayFromZero	executed	0	0	54	54	0
exp	D57	56	HalfAwayFromZero	executed	0	0	29	29	0
exp	D76	0	HalfAwayFromZero	executed	115	2.564e34	25	22	35
exp	D76	35	HalfAwayFromZero	executed	0	0	46	46	0
exp	D76	75	HalfAwayFromZero	executed	0	0	20	20	0
exp	D115	0	HalfAwayFromZero	executed	243	3.097e72	25	14	73
exp	D115	57	HalfAwayFromZero	executed	53	5.492e15	39	33	16
exp	D115	114	HalfAwayFromZero	executed	0	0	18	18	0
exp	D153	0	HalfAwayFromZero	executed	369	3.390e110	25	16	111
exp	D153	76	HalfAwayFromZero	executed	119	3.861e35	35	27	36
exp	D153	152	HalfAwayFromZero	executed	60	6.118e17	9	2	18
exp	D230	0	HalfAwayFromZero	executed	628	2.453e188	21	14	189
exp	D230	115	HalfAwayFromZero	executed	246	1.051e73	30	26	74
