# library: decimal-rs
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# reach_scale = the depth (fractional digits) this library was actually graded at — its own last representable digit; equals `scale` for arbitrary-precision peers and decimal-scaled, equals the library's cap for a fixed-precision peer running on a deeper cell. The lsbe/ulp/digits in this row measure correctness at THAT depth (grade-at-own-last-digit), and the gap `scale - reach_scale` is the shallower-reach metric.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
sqrt	D18	0	HalfToEven	executed	1	1.000000	194	178	1	0
sqrt	D18	4	HalfToEven	executed	1	1.000000	195	171	1	4
sqrt	D18	9	HalfToEven	executed	1	1.000000	195	178	1	9
sqrt	D18	13	HalfToEven	executed	1	1.000000	150	133	1	13
sqrt	D18	17	HalfToEven	executed	1	1.000000	130	109	1	17
sqrt	D38	0	HalfToEven	executed	1	1.000000	174	162	1	0
sqrt	D38	9	HalfToEven	executed	1	1.000000	175	159	1	9
sqrt	D38	19	HalfToEven	executed	1	1.000000	175	161	1	19
sqrt	D38	28	HalfToEven	executed	1	1.000000	175	155	1	28
sqrt	D38	37	HalfToEven	executed	1	1.000000	115	86	1	37
sqrt	D57	0	HalfToEven	executed	1	1.000000	154	147	1	0
sqrt	D57	14	HalfToEven	executed	1	1.000000	155	143	1	14
sqrt	D57	28	HalfToEven	executed	15	28199.000000	155	79	5	28
sqrt	D57	42	HalfToEven	executed	25	2.648e7	155	18	8	38
sqrt	D57	56	HalfToEven	executed	2	3.000000	100	26	1	38
sqrt	D76	0	HalfToEven	executed	1	1.000000	133	111	1	0
sqrt	D76	19	HalfToEven	executed	32	2.509e9	135	74	10	19
sqrt	D76	38	HalfToEven	executed	63	7.896e18	135	16	19	38
sqrt	D76	57	HalfToEven	executed	32	2.787e9	135	18	10	38
sqrt	D76	75	HalfToEven	executed	2	3.000000	85	27	1	38
sqrt	D115	0	HalfToEven	executed	65	2.693e19	114	65	20	0
sqrt	D115	28	HalfToEven	executed	111	2.435e33	115	65	34	28
sqrt	D115	57	HalfToEven	executed	97	8.985e28	115	16	29	38
sqrt	D115	86	HalfToEven	executed	49	2.860e14	115	18	15	38
sqrt	D115	114	HalfToEven	executed	2	3.000000	70	26	1	38
sqrt	D153	0	HalfToEven	executed	1	1.000000	61	59	1	0
sqrt	D153	38	HalfToEven	executed	193	2.071e57	104	18	58	38
sqrt	D153	76	HalfToEven	executed	130	2.838e38	104	18	39	38
sqrt	D153	114	HalfToEven	executed	65	2.440e19	104	18	20	38
sqrt	D153	152	HalfToEven	executed	2	3.000000	61	18	1	38
sqrt	D230	0	HalfToEven	executed	1	1.000000	57	55	1	0
sqrt	D230	57	HalfToEven	executed	12	2571.000000	58	16	4	38
sqrt	D230	115	HalfToEven	executed	193	2.835e57	95	18	58	38
sqrt	D230	172	HalfToEven	executed	97	8.681e28	94	15	29	38
sqrt	D230	229	HalfToEven	executed	2	3.000000	54	20	1	38
sqrt	D307	0	HalfToEven	executed	0	0	57	57	0	0
sqrt	D307	76	HalfToEven	executed	12	2851.000000	58	16	4	38
