op	width	scale	prod_ns	branch_ns	delta_ns	delta_pct	ratio
cosh	D57	0	2.299	2.876	0.577	25.097	1.2510
sin	D76	0	3.875	4.671	0.796	20.534	1.2053
exp	D18	13	7310.376	8538.292	1227.917	16.797	1.1680
exp	D57	0	2.013	2.301	0.288	14.302	1.1430
mul	D115	57	85.576	97.299	11.723	13.699	1.1370
tan	D57	0	2.592	2.879	0.287	11.082	1.1108
sqrt	D76	19	151.840	168.445	16.605	10.936	1.1094
sinh	D18	0	3.422	3.733	0.311	9.095	1.0909
tan	D1232	0	250.659	272.895	22.236	8.871	1.0887
exp	D616	0	188.295	202.027	13.732	7.293	1.0729
sqrt	D38	0	7.388	7.915	0.527	7.134	1.0713
cos	D1232	0	252.334	270.161	17.827	7.065	1.0706
neg	D38	19	1.324	1.415	0.091	6.897	1.0690
neg	D38	28	1.324	1.415	0.091	6.876	1.0688
neg	D38	0	1.324	1.414	0.090	6.828	1.0683
to_radians	D57	14	380.547	406.427	25.880	6.801	1.0680
cbrt	D616	154	14360.111	15312.995	952.884	6.636	1.0664
sinh	D57	14	4898.616	5220.622	322.006	6.573	1.0657
log	D76	19	2314.753	2465.808	151.055	6.526	1.0653
atan	D57	14	6697.424	7108.072	410.648	6.131	1.0613
to_degrees	D230	0	498.845	527.754	28.909	5.795	1.0580
powf	D76	19	2181.194	2307.065	125.871	5.771	1.0577
log	D115	28	5116.253	5411.034	294.781	5.762	1.0576
to_radians	D230	0	883.810	934.526	50.716	5.738	1.0574
to_degrees	D57	28	206.391	218.212	11.821	5.727	1.0573
to_radians	D76	38	348.155	367.616	19.461	5.590	1.0559
asin	D57	28	8002.309	8446.439	444.130	5.550	1.0555
atanh	D57	14	5058.245	5338.466	280.221	5.540	1.0554
to_radians	D230	115	1394.029	1470.997	76.968	5.521	1.0552
to_degrees	D230	115	1044.869	1101.980	57.111	5.466	1.0547
rem	D38	28	12.498	13.179	0.681	5.447	1.0545
ln	D153	38	507.335	534.862	27.528	5.426	1.0543
ln	D115	28	267.989	282.347	14.358	5.358	1.0536
acos	D76	19	5483.194	5768.517	285.323	5.204	1.0520
to_degrees	D230	57	859.730	904.221	44.491	5.175	1.0518
sub	D462	461	41.070	43.182	2.113	5.144	1.0514
rem	D57	28	4.696	4.925	0.229	4.879	1.0488
sub	D462	231	41.061	43.033	1.971	4.801	1.0480
to_degrees	D57	14	274.415	287.421	13.005	4.739	1.0474
atan	D230	0	3990.922	4176.042	185.119	4.639	1.0464
sin	D924	0	185.315	193.788	8.473	4.572	1.0457
rem	D1232	0	93.379	97.636	4.257	4.558	1.0456
powf	D57	14	3717.526	3885.557	168.031	4.520	1.0452
neg	D76	57	2.090	2.184	0.094	4.520	1.0452
